"type","word1","word2","response","catch.trial.string","subj","exposures","coherence","trial"
"cross","moke","jeev",2,"","s0003",196,"0/3",14
"within","thite","pif",4,"","s0003",196,"0/3",15
"within","wug","dex",3,"","s0003",196,"0/3",16
"within","moke","pif",4,"","s0003",196,"0/3",17
"within","pif","wug",4,"","s0004",392,"rime",1
"within","moke","thite",4,"","s0004",392,"rime",2
"cross","dex","pif",5,"","s0004",392,"rime",3
"cross","thite","jeev",5,"","s0004",392,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0004",392,"rime",5
"cross","moke","wug",3,"","s0004",392,"rime",6
"within","jeev","pif",4,"","s0004",392,"rime",7
"cross","dex","wug",2,"","s0004",392,"rime",8
"cross","thite","pif",4,"","s0004",392,"rime",9
"cross","moke","jeev",3,"","s0004",392,"rime",10
"cross","thite","wug",2,"","s0004",392,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0004",392,"rime",12
"cross","dex","jeev",3,"","s0004",392,"rime",13
"cross","moke","pif",3,"","s0004",392,"rime",14
"within","thite","dex",3,"","s0004",392,"rime",15
"within","jeev","wug",1,"","s0004",392,"rime",16
"within","moke","dex",3,"","s0004",392,"rime",17
"within","thite","wug",3,"","s0005",56,"nonce.connective",1
"within","dex","jeev",3,"","s0005",56,"nonce.connective",2
"cross","pif","thite",3,"","s0005",56,"nonce.connective",3
"cross","jeev","moke",3,"","s0005",56,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0005",56,"nonce.connective",5
"cross","dex","wug",4,"","s0005",56,"nonce.connective",6
"within","moke","thite",2,"","s0005",56,"nonce.connective",7
"cross","pif","wug",3,"","s0005",56,"nonce.connective",8
"cross","jeev","thite",4,"","s0005",56,"nonce.connective",9
"cross","dex","moke",3,"","s0005",56,"nonce.connective",10
"cross","jeev","wug",3,"","s0005",56,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0005",56,"nonce.connective",12
"cross","pif","moke",3,"","s0005",56,"nonce.connective",13
"cross","dex","thite",4,"","s0005",56,"nonce.connective",14
"within","jeev","pif",1,"","s0005",56,"nonce.connective",15
"within","moke","wug",4,"","s0005",56,"nonce.connective",16
"within","dex","pif",3,"","s0005",56,"nonce.connective",17
"within","jeev","thite",2,"","s0006",56,"rime",1
"within","pif","moke",3,"","s0006",56,"rime",2
"cross","wug","jeev",3,"","s0006",56,"rime",3
"cross","moke","dex",2,"","s0006",56,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0006",56,"rime",5
"cross","pif","thite",3,"","s0006",56,"rime",6
"within","dex","jeev",2,"","s0006",56,"rime",7
"cross","wug","thite",2,"","s0006",56,"rime",8
"cross","moke","jeev",3,"","s0006",56,"rime",9
"cross","pif","dex",4,"","s0006",56,"rime",10
"cross","moke","thite",3,"","s0006",56,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0006",56,"rime",12
"cross","wug","dex",4,"","s0006",56,"rime",13
"cross","pif","jeev",2,"","s0006",56,"rime",14
"within","moke","wug",3,"","s0006",56,"rime",15
"within","dex","thite",2,"","s0006",56,"rime",16
"within","pif","wug",3,"","s0006",56,"rime",17
"within","thite","pif",1,"","s0007",392,"nonce.connective",1
"within","moke","dex",1,"","s0007",392,"nonce.connective",2
"cross","wug","thite",1,"","s0007",392,"nonce.connective",3
"cross","dex","jeev",1,"","s0007",392,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0007",392,"nonce.connective",5
"cross","moke","pif",1,"","s0007",392,"nonce.connective",6
"within","jeev","thite",1,"","s0007",392,"nonce.connective",7
"cross","wug","pif",1,"","s0007",392,"nonce.connective",8
"cross","dex","thite",1,"","s0007",392,"nonce.connective",9
"cross","moke","jeev",1,"","s0007",392,"nonce.connective",10
"cross","dex","pif",1,"","s0007",392,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0007",392,"nonce.connective",12
"cross","wug","jeev",1,"","s0007",392,"nonce.connective",13
"cross","moke","thite",1,"","s0007",392,"nonce.connective",14
"within","dex","wug",1,"","s0007",392,"nonce.connective",15
"within","jeev","pif",1,"","s0007",392,"nonce.connective",16
"within","moke","wug",1,"","s0007",392,"nonce.connective",17
"within","dex","pif",5,"","s0008",196,"2/3",1
"within","thite","moke",1,"","s0008",196,"2/3",2
"cross","jiv","dex",3,"","s0008",196,"2/3",3
"cross","moke","wug",2,"","s0008",196,"2/3",4
"catch",NA,NA,3,"How much is five minus two?","s0008",196,"2/3",5
"cross","thite","pif",4,"","s0008",196,"2/3",6
"within","wug","dex",1,"","s0008",196,"2/3",7
"cross","jiv","pif",5,"","s0008",196,"2/3",8
"cross","moke","dex",5,"","s0008",196,"2/3",9
"cross","thite","wug",2,"","s0008",196,"2/3",10
"cross","moke","pif",4,"","s0008",196,"2/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0008",196,"2/3",12
"cross","jiv","wug",1,"","s0008",196,"2/3",13
"cross","thite","dex",2,"","s0008",196,"2/3",14
"within","moke","jiv",2,"","s0008",196,"2/3",15
"within","wug","pif",4,"","s0008",196,"2/3",16
"within","thite","jiv",3,"","s0008",196,"2/3",17
"within","dex","moke",1,"","s0009",196,"rime",1
"within","thite","wug",4,"","s0009",196,"rime",2
"cross","jeev","dex",4,"","s0009",196,"rime",3
"cross","wug","pif",4,"","s0009",196,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0009",196,"rime",5
"cross","thite","moke",4,"","s0009",196,"rime",6
"within","pif","dex",4,"","s0009",196,"rime",7
"cross","jeev","moke",4,"","s0009",196,"rime",8
"cross","wug","dex",4,"","s0009",196,"rime",9
"cross","thite","pif",4,"","s0009",196,"rime",10
"cross","wug","moke",4,"","s0009",196,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0009",196,"rime",12
"cross","jeev","pif",4,"","s0009",196,"rime",13
"cross","thite","dex",4,"","s0009",196,"rime",14
"within","wug","jeev",4,"","s0009",196,"rime",15
"within","pif","moke",4,"","s0009",196,"rime",16
"within","thite","jeev",4,"","s0009",196,"rime",17
"within","pif","dex",3,"","s0010",196,"0/3",1
"within","moke","wug",3,"","s0010",196,"0/3",2
"cross","thite","pif",3,"","s0010",196,"0/3",3
"cross","wug","jiv",4,"","s0010",196,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0010",196,"0/3",5
"cross","moke","dex",2,"","s0010",196,"0/3",6
"within","jiv","pif",4,"","s0010",196,"0/3",7
"cross","thite","dex",4,"","s0010",196,"0/3",8
"cross","wug","pif",2,"","s0010",196,"0/3",9
"cross","moke","jiv",1,"","s0010",196,"0/3",10
"cross","wug","dex",2,"","s0010",196,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0010",196,"0/3",12
"cross","thite","jiv",2,"","s0010",196,"0/3",13
"cross","moke","pif",2,"","s0010",196,"0/3",14
"within","wug","thite",3,"","s0010",196,"0/3",15
"within","jiv","dex",4,"","s0010",196,"0/3",16
"within","moke","thite",4,"","s0010",196,"0/3",17
"within","wug","pif",5,"","s0011",196,"2/3",1
"within","dex","jiv",5,"","s0011",196,"2/3",2
"cross","moke","wug",3,"","s0011",196,"2/3",3
"cross","jiv","thite",2,"","s0011",196,"2/3",4
"catch",NA,NA,3,"How much is five minus two?","s0011",196,"2/3",5
"cross","dex","pif",1,"","s0011",196,"2/3",6
"within","thite","wug",5,"","s0011",196,"2/3",7
"cross","moke","pif",2,"","s0011",196,"2/3",8
"cross","jiv","wug",2,"","s0011",196,"2/3",9
"cross","dex","thite",3,"","s0011",196,"2/3",10
"cross","jiv","pif",1,"","s0011",196,"2/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0011",196,"2/3",12
"cross","moke","thite",3,"","s0011",196,"2/3",13
"cross","dex","wug",2,"","s0011",196,"2/3",14
"within","jiv","moke",3,"","s0011",196,"2/3",15
"within","thite","pif",4,"","s0011",196,"2/3",16
"within","dex","moke",4,"","s0011",196,"2/3",17
"within","pif","thite",4,"","s0012",196,"semantic.baseline",1
"within","dex","jiv",2,"","s0012",196,"semantic.baseline",2
"cross","wug","pif",1,"","s0012",196,"semantic.baseline",3
"cross","jiv","moke",1,"","s0012",196,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0012",196,"semantic.baseline",5
"cross","dex","thite",5,"","s0012",196,"semantic.baseline",6
"within","moke","pif",5,"","s0012",196,"semantic.baseline",7
"cross","wug","thite",2,"","s0012",196,"semantic.baseline",8
"cross","jiv","pif",5,"","s0012",196,"semantic.baseline",9
"cross","dex","moke",4,"","s0012",196,"semantic.baseline",10
"cross","jiv","thite",5,"","s0012",196,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0012",196,"semantic.baseline",12
"cross","wug","moke",2,"","s0012",196,"semantic.baseline",13
"cross","dex","pif",2,"","s0012",196,"semantic.baseline",14
"within","jiv","wug",4,"","s0012",196,"semantic.baseline",15
"within","moke","thite",2,"","s0012",196,"semantic.baseline",16
"within","dex","wug",2,"","s0012",196,"semantic.baseline",17
"within","pif","moke",1,"","s0013",126,"rime",1
"within","jeev","thite",3,"","s0013",126,"rime",2
"cross","wug","pif",2,"","s0013",126,"rime",3
"cross","thite","dex",2,"","s0013",126,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0013",126,"rime",5
"cross","jeev","moke",4,"","s0013",126,"rime",6
"within","dex","pif",4,"","s0013",126,"rime",7
"cross","wug","moke",2,"","s0013",126,"rime",8
"cross","thite","pif",2,"","s0013",126,"rime",9
"cross","jeev","dex",4,"","s0013",126,"rime",10
"cross","thite","moke",3,"","s0013",126,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0013",126,"rime",12
"cross","wug","dex",4,"","s0013",126,"rime",13
"cross","jeev","pif",2,"","s0013",126,"rime",14
"within","thite","wug",2,"","s0013",126,"rime",15
"within","dex","moke",3,"","s0013",126,"rime",16
"within","jeev","wug",4,"","s0013",126,"rime",17
"within","pif","dex",5,"","s0014",56,"3/3",1
"within","thite","wug",1,"","s0014",56,"3/3",2
"cross","jiv","pif",5,"","s0014",56,"3/3",3
"cross","wug","moke",1,"","s0014",56,"3/3",4
"catch",NA,NA,3,"How much is five minus two?","s0014",56,"3/3",5
"cross","thite","dex",1,"","s0014",56,"3/3",6
"within","moke","pif",5,"","s0014",56,"3/3",7
"cross","jiv","dex",1,"","s0014",56,"3/3",8
"cross","wug","pif",5,"","s0014",56,"3/3",9
"cross","thite","moke",1,"","s0014",56,"3/3",10
"cross","wug","dex",1,"","s0014",56,"3/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0014",56,"3/3",12
"cross","jiv","moke",1,"","s0014",56,"3/3",13
"cross","thite","pif",3,"","s0014",56,"3/3",14
"within","wug","jiv",1,"","s0014",56,"3/3",15
"within","moke","dex",3,"","s0014",56,"3/3",16
"within","thite","jiv",1,"","s0014",56,"3/3",17
"within","wug","pif",3,"","s0015",196,"0/3",1
"within","jiv","thite",4,"","s0015",196,"0/3",2
"cross","moke","wug",2,"","s0015",196,"0/3",3
"cross","thite","dex",3,"","s0015",196,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0015",196,"0/3",5
"cross","jiv","pif",1,"","s0015",196,"0/3",6
"within","dex","wug",3,"","s0015",196,"0/3",7
"cross","moke","pif",2,"","s0015",196,"0/3",8
"cross","thite","wug",2,"","s0015",196,"0/3",9
"cross","jiv","dex",2,"","s0015",196,"0/3",10
"cross","thite","pif",2,"","s0015",196,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0015",196,"0/3",12
"cross","moke","dex",4,"","s0015",196,"0/3",13
"cross","jiv","wug",1,"","s0015",196,"0/3",14
"within","thite","moke",2,"","s0015",196,"0/3",15
"within","dex","pif",3,"","s0015",196,"0/3",16
"within","jiv","moke",1,"","s0015",196,"0/3",17
"within","thite","pif",1,"","s0016",126,"nonce.connective",1
"within","dex","jeev",3,"","s0016",126,"nonce.connective",2
"cross","moke","thite",1,"","s0016",126,"nonce.connective",3
"cross","jeev","wug",1,"","s0016",126,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0016",126,"nonce.connective",5
"cross","dex","pif",1,"","s0016",126,"nonce.connective",6
"within","wug","thite",4,"","s0016",126,"nonce.connective",7
"cross","moke","pif",1,"","s0016",126,"nonce.connective",8
"cross","jeev","thite",1,"","s0016",126,"nonce.connective",9
"cross","dex","wug",4,"","s0016",126,"nonce.connective",10
"cross","jeev","pif",1,"","s0016",126,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0016",126,"nonce.connective",12
"cross","moke","wug",1,"","s0016",126,"nonce.connective",13
"cross","dex","thite",1,"","s0016",126,"nonce.connective",14
"within","jeev","moke",2,"","s0016",126,"nonce.connective",15
"within","wug","pif",4,"","s0016",126,"nonce.connective",16
"within","dex","moke",3,"","s0016",126,"nonce.connective",17
"within","moke","jiv",1,"","s0017",196,"2/3",1
"within","pif","wug",1,"","s0017",196,"2/3",2
"cross","dex","moke",1,"","s0017",196,"2/3",3
"cross","wug","thite",1,"","s0017",196,"2/3",4
"catch",NA,NA,3,"How much is five minus two?","s0017",196,"2/3",5
"cross","pif","jiv",4,"","s0017",196,"2/3",6
"within","thite","moke",2,"","s0017",196,"2/3",7
"cross","dex","jiv",2,"","s0017",196,"2/3",8
"cross","wug","moke",2,"","s0017",196,"2/3",9
"cross","pif","thite",1,"","s0017",196,"2/3",10
"cross","wug","jiv",2,"","s0017",196,"2/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0017",196,"2/3",12
"cross","dex","thite",1,"","s0017",196,"2/3",13
"cross","pif","moke",1,"","s0017",196,"2/3",14
"within","wug","dex",1,"","s0017",196,"2/3",15
"within","thite","jiv",1,"","s0017",196,"2/3",16
"within","pif","dex",1,"","s0017",196,"2/3",17
"within","pif","dex",3,"","s0018",56,"1/3",1
"within","wug","moke",1,"","s0018",56,"1/3",2
"cross","thite","pif",2,"","s0018",56,"1/3",3
"cross","moke","jiv",1,"","s0018",56,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0018",56,"1/3",5
"cross","wug","dex",3,"","s0018",56,"1/3",6
"within","jiv","pif",4,"","s0018",56,"1/3",7
"cross","thite","dex",2,"","s0018",56,"1/3",8
"cross","moke","pif",2,"","s0018",56,"1/3",9
"cross","wug","jiv",4,"","s0018",56,"1/3",10
"cross","moke","dex",2,"","s0018",56,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0018",56,"1/3",12
"cross","thite","jiv",2,"","s0018",56,"1/3",13
"cross","wug","pif",4,"","s0018",56,"1/3",14
"within","moke","thite",4,"","s0018",56,"1/3",15
"within","jiv","dex",4,"","s0018",56,"1/3",16
"within","wug","thite",2,"","s0018",56,"1/3",17
"within","dex","pif",1,"","s0019",56,"nonce.connective",1
"within","wug","thite",5,"","s0019",56,"nonce.connective",2
"cross","jeev","dex",4,"","s0019",56,"nonce.connective",3
"cross","thite","moke",5,"","s0019",56,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0019",56,"nonce.connective",5
"cross","wug","pif",2,"","s0019",56,"nonce.connective",6
"within","moke","dex",4,"","s0019",56,"nonce.connective",7
"cross","jeev","pif",2,"","s0019",56,"nonce.connective",8
"cross","thite","dex",5,"","s0019",56,"nonce.connective",9
"cross","wug","moke",5,"","s0019",56,"nonce.connective",10
"cross","thite","pif",2,"","s0019",56,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0019",56,"nonce.connective",12
"cross","jeev","moke",4,"","s0019",56,"nonce.connective",13
"cross","wug","dex",5,"","s0019",56,"nonce.connective",14
"within","thite","jeev",5,"","s0019",56,"nonce.connective",15
"within","moke","pif",2,"","s0019",56,"nonce.connective",16
"within","wug","jeev",4,"","s0019",56,"nonce.connective",17
"within","pif","moke",4,"","s0020",392,"rime",1
"within","jeev","dex",4,"","s0020",392,"rime",2
"cross","thite","pif",4,"","s0020",392,"rime",3
"cross","dex","wug",4,"","s0020",392,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0020",392,"rime",5
"cross","jeev","moke",4,"","s0020",392,"rime",6
"within","wug","pif",4,"","s0020",392,"rime",7
"cross","thite","moke",4,"","s0020",392,"rime",8
"cross","dex","pif",4,"","s0020",392,"rime",9
"cross","jeev","wug",4,"","s0020",392,"rime",10
"cross","dex","moke",4,"","s0020",392,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0020",392,"rime",12
"cross","thite","wug",4,"","s0020",392,"rime",13
"cross","jeev","pif",4,"","s0020",392,"rime",14
"within","dex","thite",4,"","s0020",392,"rime",15
"within","wug","moke",4,"","s0020",392,"rime",16
"within","jeev","thite",4,"","s0020",392,"rime",17
"within","wug","jiv",5,"","s0021",56,"3/3",1
"within","moke","pif",1,"","s0021",56,"3/3",2
"cross","thite","wug",2,"","s0021",56,"3/3",3
"cross","pif","dex",4,"","s0021",56,"3/3",4
"cross","moke","jiv",2,"","s0021",56,"3/3",5
"within","dex","wug",3,"","s0021",56,"3/3",6
"cross","thite","jiv",2,"","s0021",56,"3/3",7
"cross","pif","wug",4,"","s0021",56,"3/3",8
"cross","moke","dex",5,"","s0021",56,"3/3",9
"cross","pif","jiv",4,"","s0021",56,"3/3",10
"cross","thite","dex",3,"","s0021",56,"3/3",11
"cross","moke","wug",4,"","s0021",56,"3/3",12
"within","pif","thite",3,"","s0021",56,"3/3",13
"within","dex","jiv",1,"","s0021",56,"3/3",14
"within","moke","thite",4,"","s0021",56,"3/3",15
"within","pif","dex",5,"","s0022",392,"1/3",1
"within","thite","wug",5,"","s0022",392,"1/3",2
"cross","jiv","pif",5,"","s0022",392,"1/3",3
"cross","wug","moke",1,"","s0022",392,"1/3",4
"catch",NA,NA,3,"How much is five minus two?","s0022",392,"1/3",5
"cross","thite","dex",1,"","s0022",392,"1/3",6
"within","moke","pif",3,"","s0022",392,"1/3",7
"cross","jiv","dex",5,"","s0022",392,"1/3",8
"cross","wug","pif",4,"","s0022",392,"1/3",9
"cross","thite","moke",5,"","s0022",392,"1/3",10
"cross","wug","dex",2,"","s0022",392,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0022",392,"1/3",12
"cross","jiv","moke",2,"","s0022",392,"1/3",13
"cross","thite","pif",2,"","s0022",392,"1/3",14
"within","wug","jiv",5,"","s0022",392,"1/3",15
"within","moke","dex",1,"","s0022",392,"1/3",16
"within","thite","jiv",4,"","s0022",392,"1/3",17
"within","moke","wug",2,"","s0023",196,"rime",1
"within","pif","jeev",4,"","s0023",196,"rime",2
"cross","dex","moke",4,"","s0023",196,"rime",3
"cross","jeev","thite",2,"","s0023",196,"rime",4
"catch",NA,NA,3,"How much is five minus two?","s0023",196,"rime",5
"cross","pif","wug",4,"","s0023",196,"rime",6
"within","thite","moke",2,"","s0023",196,"rime",7
"cross","dex","wug",4,"","s0023",196,"rime",8
"cross","jeev","moke",3,"","s0023",196,"rime",9
"cross","pif","thite",5,"","s0023",196,"rime",10
"cross","jeev","wug",2,"","s0023",196,"rime",11
"catch",NA,NA,1,"How much is one plus zero?","s0023",196,"rime",12
"cross","dex","thite",3,"","s0023",196,"rime",13
"cross","pif","moke",4,"","s0023",196,"rime",14
"within","jeev","dex",3,"","s0023",196,"rime",15
"within","thite","wug",2,"","s0023",196,"rime",16
"within","pif","dex",2,"","s0023",196,"rime",17
"within","pif","wug",1,"","s0024",126,"0/3",1
"within","jiv","moke",1,"","s0024",126,"0/3",2
"cross","dex","pif",3,"","s0024",126,"0/3",3
"cross","moke","thite",2,"","s0024",126,"0/3",4
"catch",NA,NA,3,"How much is five minus two?","s0024",126,"0/3",5
"cross","jiv","wug",2,"","s0024",126,"0/3",6
"within","thite","pif",2,"","s0024",126,"0/3",7
"cross","dex","wug",3,"","s0024",126,"0/3",8
"cross","moke","pif",3,"","s0024",126,"0/3",9
"cross","jiv","thite",4,"","s0024",126,"0/3",10
"cross","moke","wug",2,"","s0024",126,"0/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0024",126,"0/3",12
"cross","dex","thite",3,"","s0024",126,"0/3",13
"cross","jiv","pif",4,"","s0024",126,"0/3",14
"within","moke","dex",2,"","s0024",126,"0/3",15
"within","thite","wug",4,"","s0024",126,"0/3",16
"within","jiv","dex",3,"","s0024",126,"0/3",17
"within","thite","dex",1,"","s0025",126,"semantic.baseline",1
"within","pif","wug",2,"","s0025",126,"semantic.baseline",2
"cross","jiv","thite",2,"","s0025",126,"semantic.baseline",3
"cross","wug","moke",4,"","s0025",126,"semantic.baseline",4
"catch",NA,NA,3,"How much is five minus two?","s0025",126,"semantic.baseline",5
"cross","pif","dex",3,"","s0025",126,"semantic.baseline",6
"within","moke","thite",2,"","s0025",126,"semantic.baseline",7
"cross","jiv","dex",3,"","s0025",126,"semantic.baseline",8
"cross","wug","thite",2,"","s0025",126,"semantic.baseline",9
"cross","pif","moke",3,"","s0025",126,"semantic.baseline",10
"cross","wug","dex",4,"","s0025",126,"semantic.baseline",11
"catch",NA,NA,1,"How much is one plus zero?","s0025",126,"semantic.baseline",12
"cross","jiv","moke",2,"","s0025",126,"semantic.baseline",13
"cross","pif","thite",4,"","s0025",126,"semantic.baseline",14
"within","wug","jiv",3,"","s0025",126,"semantic.baseline",15
"within","moke","dex",4,"","s0025",126,"semantic.baseline",16
"within","pif","jiv",5,"","s0025",126,"semantic.baseline",17
"within","jeev","pif",1,"","s0026",392,"syllables",1
"within","wug","moke",3,"","s0026",392,"syllables",2
"cross","dex","jeev",1,"","s0026",392,"syllables",3
"cross","moke","thite",2,"","s0026",392,"syllables",4
"catch",NA,NA,3,"How much is five minus two?","s0026",392,"syllables",5
"cross","wug","pif",3,"","s0026",392,"syllables",6
"within","thite","jeev",1,"","s0026",392,"syllables",7
"cross","dex","pif",4,"","s0026",392,"syllables",8
"cross","moke","jeev",3,"","s0026",392,"syllables",9
"cross","wug","thite",1,"","s0026",392,"syllables",10
"cross","moke","pif",1,"","s0026",392,"syllables",11
"catch",NA,NA,1,"How much is one plus zero?","s0026",392,"syllables",12
"cross","dex","thite",1,"","s0026",392,"syllables",13
"cross","wug","jeev",3,"","s0026",392,"syllables",14
"within","moke","dex",4,"","s0026",392,"syllables",15
"within","thite","pif",3,"","s0026",392,"syllables",16
"within","wug","dex",4,"","s0026",392,"syllables",17
"within","thite","wug",3,"","s0027",56,"1/3",1
"within","dex","pif",4,"","s0027",56,"1/3",2
"cross","jiv","thite",4,"","s0027",56,"1/3",3
"cross","pif","moke",2,"","s0027",56,"1/3",4
"catch",NA,NA,1,"How much is five minus two?","s0027",56,"1/3",5
"cross","dex","wug",5,"","s0027",56,"1/3",6
"within","moke","thite",5,"","s0027",56,"1/3",7
"cross","jiv","wug",4,"","s0027",56,"1/3",8
"cross","pif","thite",5,"","s0027",56,"1/3",9
"cross","dex","moke",2,"","s0027",56,"1/3",10
"cross","pif","wug",3,"","s0027",56,"1/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0027",56,"1/3",12
"cross","jiv","moke",3,"","s0027",56,"1/3",13
"cross","dex","thite",5,"","s0027",56,"1/3",14
"within","pif","jiv",5,"","s0027",56,"1/3",15
"within","moke","wug",2,"","s0027",56,"1/3",16
"within","dex","jiv",4,"","s0027",56,"1/3",17
"within","wug","jiv",3,"","s0028",126,"2/3",1
"within","moke","pif",3,"","s0028",126,"2/3",2
"cross","dex","wug",3,"","s0028",126,"2/3",3
"cross","pif","thite",3,"","s0028",126,"2/3",4
"catch",NA,NA,3,"How much is five minus two?","s0028",126,"2/3",5
"cross","moke","jiv",3,"","s0028",126,"2/3",6
"within","thite","wug",3,"","s0028",126,"2/3",7
"cross","dex","jiv",3,"","s0028",126,"2/3",8
"cross","pif","wug",3,"","s0028",126,"2/3",9
"cross","moke","thite",4,"","s0028",126,"2/3",10
"cross","pif","jiv",3,"","s0028",126,"2/3",11
"catch",NA,NA,1,"How much is one plus zero?","s0028",126,"2/3",12
"cross","dex","thite",3,"","s0028",126,"2/3",13
"cross","moke","wug",3,"","s0028",126,"2/3",14
"within","pif","dex",3,"","s0028",126,"2/3",15
"within","thite","jiv",3,"","s0028",126,"2/3",16
"within","moke","dex",3,"","s0028",126,"2/3",17
"within","thite","dex",1,"","s0029",196,"nonce.connective",1
"within","wug","pif",1,"","s0029",196,"nonce.connective",2
"cross","jeev","thite",1,"","s0029",196,"nonce.connective",3
"cross","pif","moke",2,"","s0029",196,"nonce.connective",4
"catch",NA,NA,3,"How much is five minus two?","s0029",196,"nonce.connective",5
"cross","wug","dex",2,"","s0029",196,"nonce.connective",6
"within","moke","thite",1,"","s0029",196,"nonce.connective",7
"cross","jeev","dex",4,"","s0029",196,"nonce.connective",8
"cross","pif","thite",3,"","s0029",196,"nonce.connective",9
"cross","wug","moke",4,"","s0029",196,"nonce.connective",10
"cross","pif","dex",1,"","s0029",196,"nonce.connective",11
"catch",NA,NA,1,"How much is one plus zero?","s0029",196,"nonce.connective",12
"cross","jeev","moke",1,"","s0029",196,"nonce.connective",13
