"animal","vehicle","animalFirst","cluster","response","match","subj","exposures","coherence","word"
"goldfish","bicycle",1,"t2","bicycle",1,"s0011",196,"2/3","pif"
"bear","train",1,"t2","train",1,"s0011",196,"2/3","wug"
"mouse","van",0,"t1","mouse",1,"s0011",196,"2/3","dex"
"horse","plane",1,"t2","plane",1,"s0011",196,"2/3","thite"
"rabbit","motorcycle",0,"t1","rabbit",1,"s0011",196,"2/3","jiv"
"sheep","boat",0,"t1","sheep",1,"s0011",196,"2/3","moke"
"rabbit","bicycle",0,"t1","rabbit",1,"s0012",196,"semantic.baseline","wug"
"sheep","plane",1,"t1","sheep",1,"s0012",196,"semantic.baseline","dex"
"mouse","boat",0,"t2","mouse",0,"s0012",196,"semantic.baseline","thite"
"bear","train",0,"t1","bear",1,"s0012",196,"semantic.baseline","jiv"
"horse","motorcycle",1,"t2","horse",0,"s0012",196,"semantic.baseline","moke"
"goldfish","van",1,"t2","goldfish",0,"s0012",196,"semantic.baseline","pif"
"goldfish","van",0,"t2","goldfish",0,"s0013",126,"rime","dex"
"rabbit","train",1,"t1","train",0,"s0013",126,"rime","thite"
"horse","boat",0,"t1","horse",1,"s0013",126,"rime","wug"
"sheep","motorcycle",1,"t2","sheep",0,"s0013",126,"rime","pif"
"mouse","bicycle",1,"t1","mouse",1,"s0013",126,"rime","jeev"
"bear","plane",0,"t2","bear",0,"s0013",126,"rime","moke"
"sheep","bicycle",1,"t2","sheep",0,"s0014",56,"3/3","pif"
"mouse","van",1,"t1","van",0,"s0014",56,"3/3","thite"
"rabbit","train",0,"t1","train",0,"s0014",56,"3/3","jiv"
"bear","boat",1,"t2","boat",1,"s0014",56,"3/3","dex"
"goldfish","motorcycle",0,"t1","goldfish",1,"s0014",56,"3/3","wug"
"horse","plane",0,"t2","horse",0,"s0014",56,"3/3","moke"
"bear","train",0,"t2","train",1,"s0015",196,"0/3","wug"
"goldfish","bicycle",1,"t1","goldfish",1,"s0015",196,"0/3","jiv"
"rabbit","motorcycle",0,"t1","motorcycle",0,"s0015",196,"0/3","moke"
"mouse","boat",1,"t2","mouse",0,"s0015",196,"0/3","pif"
"horse","van",0,"t1","van",0,"s0015",196,"0/3","thite"
"sheep","plane",1,"t2","sheep",0,"s0015",196,"0/3","dex"
"rabbit","boat",1,"t2","boat",1,"s0016",126,"nonce.connective","wug"
"horse","bicycle",0,"t2","bicycle",1,"s0016",126,"nonce.connective","pif"
"mouse","motorcycle",1,"t1","mouse",1,"s0016",126,"nonce.connective","moke"
"bear","train",1,"t2","bear",0,"s0016",126,"nonce.connective","thite"
"sheep","plane",0,"t1","sheep",1,"s0016",126,"nonce.connective","dex"
"goldfish","van",0,"t1","goldfish",1,"s0016",126,"nonce.connective","jeev"
"bear","plane",0,"t2","plane",1,"s0017",196,"2/3","jiv"
"goldfish","bicycle",0,"t1","goldfish",1,"s0017",196,"2/3","wug"
"rabbit","boat",1,"t1","boat",0,"s0017",196,"2/3","dex"
"sheep","train",1,"t1","sheep",1,"s0017",196,"2/3","pif"
"horse","motorcycle",0,"t2","horse",0,"s0017",196,"2/3","moke"
"mouse","van",1,"t2","mouse",0,"s0017",196,"2/3","thite"
"rabbit","van",0,"t2","van",1,"s0018",56,"1/3","jiv"
"bear","bicycle",1,"t2","bicycle",1,"s0018",56,"1/3","dex"
"goldfish","boat",0,"t1","boat",0,"s0018",56,"1/3","moke"
"mouse","motorcycle",1,"t2","motorcycle",1,"s0018",56,"1/3","pif"
"horse","plane",1,"t1","plane",0,"s0018",56,"1/3","wug"
"sheep","train",0,"t1","train",0,"s0018",56,"1/3","thite"
"horse","van",0,"t2","van",1,"s0019",56,"nonce.connective","dex"
"goldfish","bicycle",0,"t2","bicycle",1,"s0019",56,"nonce.connective","moke"
"sheep","motorcycle",1,"t1","motorcycle",0,"s0019",56,"nonce.connective","wug"
"bear","train",1,"t1","train",0,"s0019",56,"nonce.connective","jeev"
"rabbit","plane",1,"t1","rabbit",1,"s0019",56,"nonce.connective","thite"
"mouse","boat",0,"t2","mouse",0,"s0019",56,"nonce.connective","pif"
"mouse","motorcycle",1,"t2","mouse",0,"s0020",392,"rime","moke"
"rabbit","bicycle",0,"t2","rabbit",0,"s0020",392,"rime","pif"
"horse","boat",1,"t1","boat",0,"s0020",392,"rime","thite"
"bear","train",0,"t1","train",0,"s0020",392,"rime","dex"
"sheep","plane",1,"t1","sheep",1,"s0020",392,"rime","jeev"
"goldfish","van",0,"t2","goldfish",0,"s0020",392,"rime","wug"
"bear","train",0,"t1","bear",1,"s0021",56,"3/3","moke"
"horse","motorcycle",1,"t1","horse",1,"s0021",56,"3/3","pif"
"sheep","bicycle",1,"t2","sheep",0,"s0021",56,"3/3","jiv"
"goldfish","van",0,"t2","goldfish",0,"s0021",56,"3/3","dex"
"mouse","plane",1,"t1","mouse",1,"s0021",56,"3/3","thite"
"rabbit","boat",0,"t2","rabbit",0,"s0021",56,"3/3","wug"
"horse","van",1,"t1","horse",1,"s0022",392,"1/3","thite"
"rabbit","motorcycle",1,"t2","motorcycle",1,"s0022",392,"1/3","dex"
"goldfish","plane",0,"t1","plane",0,"s0022",392,"1/3","jiv"
"bear","bicycle",1,"t2","bear",0,"s0022",392,"1/3","pif"
"mouse","train",0,"t1","train",0,"s0022",392,"1/3","wug"
"sheep","boat",0,"t2","sheep",0,"s0022",392,"1/3","moke"
"goldfish","train",0,"t2","goldfish",0,"s0023",196,"rime","moke"
"horse","bicycle",0,"t2","bicycle",1,"s0023",196,"rime","wug"
"mouse","plane",1,"t1","mouse",1,"s0023",196,"rime","jeev"
"bear","van",1,"t1","bear",1,"s0023",196,"rime","dex"
"rabbit","motorcycle",1,"t1","rabbit",1,"s0023",196,"rime","pif"
"sheep","boat",0,"t2","boat",1,"s0023",196,"rime","thite"
"mouse","plane",1,"t2","mouse",0,"s0024",126,"0/3","thite"
"bear","boat",0,"t1","boat",0,"s0024",126,"0/3","dex"
"sheep","train",0,"t2","train",1,"s0024",126,"0/3","pif"
"goldfish","van",0,"t2","van",1,"s0024",126,"0/3","wug"
"rabbit","bicycle",1,"t1","rabbit",1,"s0024",126,"0/3","moke"
"horse","motorcycle",1,"t1","horse",1,"s0024",126,"0/3","jiv"
"horse","plane",1,"t2","horse",0,"s0025",126,"semantic.baseline","dex"
"mouse","boat",0,"t1","mouse",1,"s0025",126,"semantic.baseline","pif"
"bear","motorcycle",0,"t2","bear",0,"s0025",126,"semantic.baseline","moke"
"sheep","train",1,"t1","sheep",1,"s0025",126,"semantic.baseline","jiv"
"goldfish","bicycle",1,"t1","goldfish",1,"s0025",126,"semantic.baseline","wug"
"rabbit","van",0,"t2","van",1,"s0025",126,"semantic.baseline","thite"
"sheep","bicycle",0,"t1","bicycle",0,"s0026",392,"syllables","wug"
"bear","motorcycle",1,"t2","bear",0,"s0026",392,"syllables","thite"
"mouse","plane",0,"t1","plane",0,"s0026",392,"syllables","moke"
"horse","van",1,"t2","horse",0,"s0026",392,"syllables","jeev"
"rabbit","boat",1,"t1","boat",0,"s0026",392,"syllables","dex"
"goldfish","train",0,"t2","train",1,"s0026",392,"syllables","pif"
"goldfish","plane",0,"t1","plane",0,"s0027",56,"1/3","pif"
"horse","boat",1,"t1","boat",0,"s0027",56,"1/3","dex"
"bear","train",0,"t1","train",0,"s0027",56,"1/3","jiv"
"sheep","van",1,"t2","sheep",0,"s0027",56,"1/3","wug"
"rabbit","bicycle",0,"t2","rabbit",0,"s0027",56,"1/3","moke"
"mouse","motorcycle",1,"t2","motorcycle",1,"s0027",56,"1/3","thite"
"rabbit","motorcycle",0,"t1","motorcycle",0,"s0028",126,"2/3","dex"
"mouse","plane",0,"t2","mouse",0,"s0028",126,"2/3","thite"
"sheep","train",1,"t2","train",1,"s0028",126,"2/3","wug"
"bear","bicycle",1,"t1","bear",1,"s0028",126,"2/3","moke"
"horse","boat",0,"t1","boat",0,"s0028",126,"2/3","pif"
"goldfish","van",1,"t2","van",1,"s0028",126,"2/3","jiv"
"bear","train",1,"t2","train",1,"s0029",196,"nonce.connective","dex"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0029",196,"nonce.connective","thite"
"goldfish","plane",1,"t1","goldfish",1,"s0029",196,"nonce.connective","jeev"
"sheep","bicycle",0,"t1","sheep",1,"s0029",196,"nonce.connective","wug"
"horse","van",0,"t2","van",1,"s0029",196,"nonce.connective","moke"
"mouse","boat",1,"t1","mouse",1,"s0029",196,"nonce.connective","pif"
"horse","boat",0,"t2","horse",0,"s0030",56,"1/3","pif"
"goldfish","bicycle",0,"t1","bicycle",0,"s0030",56,"1/3","thite"
"mouse","motorcycle",1,"t1","motorcycle",0,"s0030",56,"1/3","jiv"
"sheep","van",1,"t2","sheep",0,"s0030",56,"1/3","moke"
"rabbit","train",1,"t1","rabbit",1,"s0030",56,"1/3","dex"
"bear","plane",0,"t2","bear",0,"s0030",56,"1/3","wug"
"sheep","bicycle",1,"t2","bicycle",1,"s0031",126,"syllables","jeev"
"rabbit","motorcycle",1,"t1","motorcycle",0,"s0031",126,"syllables","thite"
"horse","train",0,"t2","train",1,"s0031",126,"syllables","pif"
"bear","van",0,"t1","van",0,"s0031",126,"syllables","moke"
"goldfish","plane",1,"t1","plane",0,"s0031",126,"syllables","dex"
"mouse","boat",0,"t2","mouse",0,"s0031",126,"syllables","wug"
"horse","train",1,"t1","horse",1,"s0032",392,"0/3","dex"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0032",392,"0/3","moke"
"bear","bicycle",1,"t2","bicycle",1,"s0032",392,"0/3","wug"
"sheep","plane",0,"t1","plane",0,"s0032",392,"0/3","thite"
"goldfish","van",0,"t1","goldfish",1,"s0032",392,"0/3","pif"
"mouse","boat",1,"t2","boat",1,"s0032",392,"0/3","jiv"
"mouse","train",1,"t2","mouse",0,"s0033",126,"nonce.connective","jeev"
"rabbit","boat",0,"t1","rabbit",1,"s0033",126,"nonce.connective","pif"
"goldfish","motorcycle",1,"t2","motorcycle",1,"s0033",126,"nonce.connective","moke"
"horse","van",0,"t1","horse",1,"s0033",126,"nonce.connective","thite"
"sheep","bicycle",1,"t2","bicycle",1,"s0033",126,"nonce.connective","wug"
"bear","plane",0,"t1","bear",1,"s0033",126,"nonce.connective","dex"
"rabbit","motorcycle",0,"t2","motorcycle",1,"s0034",392,"semantic.baseline","jiv"
"bear","bicycle",1,"t2","bear",0,"s0034",392,"semantic.baseline","pif"
"horse","train",0,"t1","horse",1,"s0034",392,"semantic.baseline","thite"
"sheep","van",0,"t1","van",0,"s0034",392,"semantic.baseline","wug"
"mouse","boat",1,"t1","mouse",1,"s0034",392,"semantic.baseline","dex"
"goldfish","plane",1,"t2","plane",1,"s0034",392,"semantic.baseline","moke"
"sheep","bicycle",1,"t2","bicycle",1,"s0035",126,"nonce.connective","wug"
"mouse","motorcycle",1,"t1","mouse",1,"s0035",126,"nonce.connective","pif"
"rabbit","train",0,"t2","rabbit",0,"s0035",126,"nonce.connective","thite"
"horse","boat",0,"t1","boat",0,"s0035",126,"nonce.connective","moke"
"goldfish","plane",1,"t2","goldfish",0,"s0035",126,"nonce.connective","jeev"
"bear","van",0,"t1","van",0,"s0035",126,"nonce.connective","dex"
"sheep","bicycle",1,"t2","bicycle",1,"s0036",392,"nonce.connective","moke"
"horse","van",0,"t2","van",1,"s0036",392,"nonce.connective","thite"
"goldfish","plane",1,"t2","goldfish",0,"s0036",392,"nonce.connective","wug"
"rabbit","boat",0,"t1","rabbit",1,"s0036",392,"nonce.connective","pif"
"mouse","motorcycle",0,"t1","mouse",1,"s0036",392,"nonce.connective","dex"
"bear","train",1,"t1","bear",1,"s0036",392,"nonce.connective","jeev"
"bear","boat",1,"t1","boat",0,"s0037",126,"syllables","pif"
"horse","plane",0,"t1","horse",1,"s0037",126,"syllables","jeev"
"rabbit","van",0,"t2","van",1,"s0037",126,"syllables","wug"
"goldfish","motorcycle",1,"t2","goldfish",0,"s0037",126,"syllables","dex"
"sheep","train",0,"t1","train",0,"s0037",126,"syllables","moke"
"mouse","bicycle",1,"t2","mouse",0,"s0037",126,"syllables","thite"
"goldfish","van",1,"t1","goldfish",1,"s0038",196,"onset","dex"
"bear","motorcycle",1,"t2","motorcycle",1,"s0038",196,"onset","jiv"
"rabbit","train",0,"t2","rabbit",0,"s0038",196,"onset","wug"
"horse","boat",0,"t1","boat",0,"s0038",196,"onset","pif"
"sheep","bicycle",1,"t1","sheep",1,"s0038",196,"onset","moke"
"mouse","plane",0,"t2","plane",1,"s0038",196,"onset","thite"
"rabbit","boat",1,"t1","rabbit",1,"s0039",126,"syllables","wug"
"bear","train",1,"t2","train",1,"s0039",126,"syllables","jeev"
"goldfish","motorcycle",0,"t2","goldfish",0,"s0039",126,"syllables","moke"
"mouse","plane",0,"t1","plane",0,"s0039",126,"syllables","pif"
"sheep","van",0,"t2","van",1,"s0039",126,"syllables","dex"
"horse","bicycle",1,"t1","bicycle",0,"s0039",126,"syllables","thite"
"rabbit","bicycle",0,"t1","rabbit",1,"s0040",392,"onset","thite"
"horse","plane",0,"t1","plane",0,"s0040",392,"onset","jiv"
"goldfish","van",1,"t2","goldfish",0,"s0040",392,"onset","pif"
"mouse","train",0,"t1","mouse",1,"s0040",392,"onset","moke"
"sheep","boat",1,"t2","sheep",0,"s0040",392,"onset","wug"
"bear","motorcycle",1,"t2","motorcycle",1,"s0040",392,"onset","dex"
"goldfish","boat",0,"t2","boat",1,"s0041",392,"nonce.connective","wug"
"rabbit","plane",0,"t2","plane",1,"s0041",392,"nonce.connective","moke"
"mouse","motorcycle",1,"t1","mouse",1,"s0041",392,"nonce.connective","pif"
"sheep","train",1,"t1","train",0,"s0041",392,"nonce.connective","jeev"
"horse","bicycle",0,"t2","horse",0,"s0041",392,"nonce.connective","thite"
"bear","van",1,"t1","van",0,"s0041",392,"nonce.connective","dex"
"sheep","boat",0,"t1","sheep",1,"s0042",196,"nonce.connective","dex"
"goldfish","plane",0,"t1","plane",0,"s0042",196,"nonce.connective","thite"
"horse","bicycle",1,"t1","bicycle",0,"s0042",196,"nonce.connective","moke"
"bear","van",0,"t2","van",1,"s0042",196,"nonce.connective","pif"
"rabbit","train",1,"t2","rabbit",0,"s0042",196,"nonce.connective","jeev"
"mouse","motorcycle",1,"t2","mouse",0,"s0042",196,"nonce.connective","wug"
"mouse","bicycle",1,"t1","bicycle",0,"s0043",392,"rime","moke"
"goldfish","motorcycle",0,"t1","motorcycle",0,"s0043",392,"rime","wug"
"sheep","train",0,"t2","train",1,"s0043",392,"rime","dex"
"bear","boat",1,"t1","boat",0,"s0043",392,"rime","jeev"
"rabbit","van",0,"t2","rabbit",0,"s0043",392,"rime","thite"
"horse","plane",1,"t2","plane",1,"s0043",392,"rime","pif"
"mouse","train",1,"t2","train",1,"s0044",56,"3/3","thite"
"rabbit","bicycle",0,"t2","bicycle",1,"s0044",56,"3/3","wug"
"sheep","plane",1,"t1","plane",0,"s0044",56,"3/3","dex"
"bear","boat",0,"t1","boat",0,"s0044",56,"3/3","moke"
"horse","motorcycle",0,"t1","motorcycle",0,"s0044",56,"3/3","jiv"
"goldfish","van",1,"t2","goldfish",0,"s0044",56,"3/3","pif"
"horse","bicycle",1,"t1","horse",1,"s0045",196,"0/3","wug"
"rabbit","van",0,"t1","rabbit",1,"s0045",196,"0/3","thite"
"goldfish","train",0,"t2","train",1,"s0045",196,"0/3","pif"
"sheep","plane",1,"t2","sheep",0,"s0045",196,"0/3","moke"
"mouse","boat",1,"t2","boat",1,"s0045",196,"0/3","jiv"
"bear","motorcycle",0,"t1","motorcycle",0,"s0045",196,"0/3","dex"
"horse","train",1,"t1","train",0,"s0046",392,"0/3","jiv"
"goldfish","motorcycle",1,"t2","motorcycle",1,"s0046",392,"0/3","pif"
"sheep","bicycle",0,"t2","sheep",0,"s0046",392,"0/3","dex"
"rabbit","plane",0,"t2","plane",1,"s0046",392,"0/3","thite"
"bear","van",0,"t1","bear",1,"s0046",392,"0/3","moke"
"mouse","boat",1,"t1","mouse",1,"s0046",392,"0/3","wug"
"bear","bicycle",0,"t2","bear",0,"s0047",56,"3/3","pif"
"horse","plane",1,"t1","plane",0,"s0047",56,"3/3","wug"
"rabbit","van",0,"t2","van",1,"s0047",56,"3/3","jeev"
"goldfish","train",1,"t1","train",0,"s0047",56,"3/3","moke"
"mouse","boat",0,"t2","mouse",0,"s0047",56,"3/3","dex"
"sheep","motorcycle",1,"t1","motorcycle",0,"s0047",56,"3/3","thite"
"horse","van",1,"t2","horse",0,"s0048",196,"3/3","wug"
"mouse","motorcycle",0,"t2","mouse",0,"s0048",196,"3/3","dex"
"rabbit","bicycle",0,"t1","bicycle",0,"s0048",196,"3/3","moke"
"sheep","train",1,"t1","train",0,"s0048",196,"3/3","jeev"
"goldfish","plane",1,"t2","goldfish",0,"s0048",196,"3/3","thite"
"bear","boat",0,"t1","boat",0,"s0048",196,"3/3","pif"
"goldfish","plane",1,"t2","goldfish",0,"s0049",392,"nonce.connective","wug"
"rabbit","van",0,"t1","rabbit",1,"s0049",392,"nonce.connective","pif"
"bear","train",1,"t1","bear",1,"s0049",392,"nonce.connective","moke"
"sheep","boat",0,"t2","sheep",0,"s0049",392,"nonce.connective","thite"
"horse","motorcycle",1,"t1","horse",1,"s0049",392,"nonce.connective","jeev"
"mouse","bicycle",0,"t2","bicycle",1,"s0049",392,"nonce.connective","dex"
"bear","boat",0,"t2","boat",1,"s0050",196,"rime","dex"
"mouse","bicycle",0,"t1","bicycle",0,"s0050",196,"rime","pif"
"goldfish","train",1,"t2","train",1,"s0050",196,"rime","wug"
"rabbit","motorcycle",1,"t2","motorcycle",1,"s0050",196,"rime","jeev"
"horse","plane",0,"t1","plane",0,"s0050",196,"rime","thite"
"sheep","van",1,"t1","sheep",1,"s0050",196,"rime","moke"
"horse","van",0,"t2","van",1,"s0051",392,"semantic.baseline","dex"
"sheep","bicycle",0,"t2","sheep",0,"s0051",392,"semantic.baseline","wug"
"goldfish","train",1,"t1","train",0,"s0051",392,"semantic.baseline","jiv"
"rabbit","boat",0,"t2","boat",1,"s0051",392,"semantic.baseline","thite"
"bear","plane",1,"t1","plane",0,"s0051",392,"semantic.baseline","pif"
"mouse","motorcycle",1,"t1","mouse",1,"s0051",392,"semantic.baseline","moke"
"sheep","van",0,"t2","van",1,"s0052",392,"nonce.connective","moke"
"horse","bicycle",0,"t2","bicycle",1,"s0052",392,"nonce.connective","wug"
"bear","boat",1,"t2","boat",1,"s0052",392,"nonce.connective","jeev"
"rabbit","train",1,"t1","rabbit",1,"s0052",392,"nonce.connective","dex"
"mouse","plane",0,"t1","mouse",1,"s0052",392,"nonce.connective","thite"
"goldfish","motorcycle",1,"t1","goldfish",1,"s0052",392,"nonce.connective","pif"
"bear","plane",0,"t2","plane",1,"s0053",196,"rime","thite"
"mouse","motorcycle",1,"t2","mouse",0,"s0053",196,"rime","jeev"
"goldfish","train",0,"t1","goldfish",1,"s0053",196,"rime","wug"
"sheep","van",1,"t2","van",1,"s0053",196,"rime","dex"
"rabbit","bicycle",0,"t1","rabbit",1,"s0053",196,"rime","pif"
"horse","boat",1,"t1","boat",0,"s0053",196,"rime","moke"
"horse","train",0,"t2","train",1,"s0054",126,"rime","pif"
"rabbit","motorcycle",0,"t2","rabbit",0,"s0054",126,"rime","wug"
"sheep","plane",1,"t1","plane",0,"s0054",126,"rime","dex"
"goldfish","van",1,"t1","goldfish",1,"s0054",126,"rime","thite"
"mouse","bicycle",0,"t1","bicycle",0,"s0054",126,"rime","moke"
"bear","boat",1,"t2","boat",1,"s0054",126,"rime","jeev"
"mouse","bicycle",1,"t2","mouse",0,"s0055",126,"0/3","pif"
"goldfish","motorcycle",0,"t1","goldfish",1,"s0055",126,"0/3","wug"
"horse","van",0,"t1","van",0,"s0055",126,"0/3","moke"
"bear","train",1,"t2","train",1,"s0055",126,"0/3","jiv"
"sheep","boat",1,"t2","sheep",0,"s0055",126,"0/3","dex"
"rabbit","plane",0,"t1","plane",0,"s0055",126,"0/3","thite"
"rabbit","van",0,"t1","van",0,"s0056",126,"rime","pif"
"bear","train",1,"t2","train",1,"s0056",126,"rime","dex"
"sheep","plane",1,"t1","sheep",1,"s0056",126,"rime","wug"
"horse","motorcycle",0,"t2","horse",0,"s0056",126,"rime","moke"
"goldfish","boat",0,"t2","goldfish",0,"s0056",126,"rime","thite"
"mouse","bicycle",1,"t1","mouse",1,"s0056",126,"rime","jeev"
"mouse","train",0,"t2","mouse",0,"s0057",126,"semantic.baseline","wug"
"bear","plane",0,"t2","bear",0,"s0057",126,"semantic.baseline","thite"
"goldfish","bicycle",1,"t1","goldfish",1,"s0057",126,"semantic.baseline","dex"
"horse","boat",1,"t2","horse",0,"s0057",126,"semantic.baseline","pif"
"sheep","motorcycle",1,"t1","sheep",1,"s0057",126,"semantic.baseline","moke"
"rabbit","van",0,"t1","rabbit",1,"s0057",126,"semantic.baseline","jiv"
"goldfish","boat",1,"t1","goldfish",1,"s0058",392,"0/3","dex"
"horse","train",1,"t2","horse",0,"s0058",392,"0/3","wug"
"bear","van",0,"t2","van",1,"s0058",392,"0/3","moke"
"sheep","motorcycle",0,"t1","motorcycle",0,"s0058",392,"0/3","jiv"
"rabbit","plane",0,"t2","rabbit",0,"s0058",392,"0/3","pif"
"mouse","bicycle",1,"t1","bicycle",0,"s0058",392,"0/3","thite"
"mouse","van",0,"t2","van",1,"s0059",196,"onset","pif"
"bear","train",1,"t2","bear",0,"s0059",196,"onset","jiv"
"horse","plane",1,"t2","horse",0,"s0059",196,"onset","wug"
"goldfish","boat",1,"t1","boat",0,"s0059",196,"onset","thite"
"sheep","motorcycle",0,"t1","sheep",1,"s0059",196,"onset","dex"
"rabbit","bicycle",0,"t1","rabbit",1,"s0059",196,"onset","moke"
"horse","motorcycle",0,"t1","motorcycle",0,"s0060",392,"3/3","jiv"
"bear","boat",1,"t1","bear",1,"s0060",392,"3/3","dex"
"sheep","plane",1,"t2","sheep",0,"s0060",392,"3/3","thite"
"goldfish","bicycle",0,"t1","bicycle",0,"s0060",392,"3/3","wug"
"mouse","train",1,"t2","mouse",0,"s0060",392,"3/3","pif"
"rabbit","van",0,"t2","van",1,"s0060",392,"3/3","moke"
"bear","boat",0,"t1","bear",1,"s0061",56,"0/3","thite"
"mouse","train",1,"t1","mouse",1,"s0061",56,"0/3","jeev"
"rabbit","bicycle",0,"t2","bicycle",1,"s0061",56,"0/3","moke"
"horse","plane",1,"t2","horse",0,"s0061",56,"0/3","dex"
"goldfish","van",1,"t2","van",1,"s0061",56,"0/3","pif"
"sheep","motorcycle",0,"t1","sheep",1,"s0061",56,"0/3","wug"
"rabbit","plane",1,"t1","plane",0,"s0062",392,"semantic.baseline","thite"
"mouse","train",1,"t2","mouse",0,"s0062",392,"semantic.baseline","wug"
"horse","motorcycle",0,"t2","motorcycle",1,"s0062",392,"semantic.baseline","pif"
"sheep","van",0,"t2","sheep",0,"s0062",392,"semantic.baseline","dex"
"goldfish","boat",0,"t1","goldfish",1,"s0062",392,"semantic.baseline","moke"
"bear","bicycle",1,"t1","bicycle",0,"s0062",392,"semantic.baseline","jiv"
"rabbit","train",0,"t1","train",0,"s0063",56,"2/3","pif"
"horse","motorcycle",1,"t2","horse",0,"s0063",56,"2/3","moke"
